component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
58388,2,4598.5,1250.0,101.675,161.850
58389,2,4604.5,1250.0,101.975,161.850
58390,2,4606.5,1250.0,102.075,161.850
58391,2,4608.5,1250.0,102.175,161.850
58392,2,4612.5,1250.0,102.375,161.850
58394,2,4620.5,1250.0,102.775,161.850
58395,2,4624.5,1250.0,102.975,161.850
58422,2,4754.5,1250.0,109.475,161.850
58423,2,4756.5,1250.0,109.575,161.850
58427,2,4780.5,1250.0,110.775,161.850
58434,2,4852.5,1250.0,114.375,161.850
58435,2,4882.5,1250.0,115.875,161.850
58436,2,4884.5,1250.0,115.975,161.850
58437,2,4886.5,1250.0,116.075,161.850
58438,2,4894.5,1250.0,116.475,161.850
58439,2,4896.5,1250.0,116.575,161.850
58440,2,4900.5,1250.0,116.775,161.850
58441,2,4902.5,1250.0,116.875,161.850
58442,2,4904.5,1250.0,116.975,161.850
58443,2,4906.5,1250.0,117.075,161.850
58444,2,4912.5,1250.0,117.375,161.850
58445,2,4914.5,1250.0,117.475,161.850
58446,2,4916.5,1250.0,117.575,161.850
58447,2,4918.5,1250.0,117.675,161.850
58448,2,4920.5,1250.0,117.775,161.850
58449,2,4922.5,1250.0,117.875,161.850
58450,2,4924.5,1250.0,117.975,161.850
58451,2,4928.5,1250.0,118.175,161.850
58452,2,4930.5,1250.0,118.275,161.850
58453,2,4932.5,1250.0,118.375,161.850
58454,2,4934.5,1250.0,118.475,161.850
58455,2,4936.5,1250.0,118.575,161.850
58456,2,4938.5,1250.0,118.675,161.850
58457,2,4940.5,1250.0,118.775,161.850
58459,2,4946.5,1250.0,119.075,161.850
58460,2,4948.5,1250.0,119.175,161.850
58461,2,4950.5,1250.0,119.275,161.850
58462,2,4952.5,1250.0,119.375,161.850
58463,2,4954.5,1250.0,119.475,161.850
58464,2,4956.5,1250.0,119.575,161.850
58465,2,4958.5,1250.0,119.675,161.850
58551,2,5418.5,1250.0,142.675,161.850
59084,2,3707.0,1252.5,57.100,161.725
59103,2,3837.0,1252.5,63.600,161.725
59105,2,3847.0,1252.5,64.100,161.725
59111,2,3917.0,1252.5,67.600,161.725
59128,2,4007.0,1252.5,72.100,161.725
59138,2,4087.0,1252.5,76.100,161.725
59711,2,3637.0,1254.5,53.600,161.625
59712,2,3647.0,1254.5,54.100,161.625
59727,2,3817.0,1254.5,62.600,161.625
60345,2,3547.0,1256.5,49.100,161.525
60350,2,3617.0,1256.5,52.600,161.525
60893,2,2382.5,1260.0,-9.125,161.350
60904,2,2627.0,1260.0,3.100,161.350
60905,2,2636.5,1260.0,3.575,161.350
60911,2,2740.5,1260.0,8.775,161.350
60919,2,2864.5,1260.0,14.975,161.350
60923,2,3007.5,1260.0,22.125,161.350
60933,2,3182.5,1260.0,30.875,161.350
60952,2,3467.0,1260.0,45.100,161.350
60953,2,3492.5,1260.0,46.375,161.350
60954,3,3527.0,1260.0,48.100,161.350
60955,2,3530.5,1260.0,48.275,161.350
60956,2,3552.5,1260.0,49.375,161.350
60959,2,3607.0,1260.0,52.100,161.350
60962,2,3630.5,1260.0,53.275,161.350
60963,2,3632.5,1260.0,53.375,161.350
60966,2,3657.5,1260.0,54.625,161.350
60967,2,3660.5,1260.0,54.775,161.350
60968,2,3667.5,1260.0,55.125,161.350
60969,2,3677.0,1259.5,55.600,161.375
60976,2,3807.0,1260.0,62.100,161.350
60978,2,3817.0,1260.0,62.600,161.350
60979,2,3822.5,1260.0,62.875,161.350
60980,2,3826.5,1260.0,63.075,161.350
60984,2,3846.5,1260.0,64.075,161.350
60986,2,3852.5,1260.0,64.375,161.350
60987,2,3854.5,1260.0,64.475,161.350
60991,2,3882.5,1260.0,65.875,161.350
60993,2,3894.5,1260.0,66.475,161.350
61003,3,3957.0,1260.0,69.600,161.350
61006,2,3992.5,1260.0,71.375,161.350
61009,2,4040.5,1260.0,73.775,161.350
61010,2,4042.5,1260.0,73.875,161.350
61011,2,4050.5,1260.0,74.275,161.350
61012,2,4057.5,1260.0,74.625,161.350
61015,2,4094.5,1260.0,76.475,161.350
61019,2,4134.5,1260.0,78.475,161.350
61021,2,4144.5,1260.0,78.975,161.350
61022,2,4148.5,1260.0,79.175,161.350
61025,2,4162.5,1260.0,79.875,161.350
61026,2,4170.5,1260.0,80.275,161.350
61027,2,4184.5,1260.0,80.975,161.350
61028,2,4186.5,1260.0,81.075,161.350
61029,2,4188.5,1260.0,81.175,161.350
61031,2,4200.5,1260.0,81.775,161.350
61032,2,4202.5,1260.0,81.875,161.350
61037,2,4224.5,1260.0,82.975,161.350
61056,2,4302.5,1260.0,86.875,161.350
61060,2,4318.5,1260.0,87.675,161.350
61062,2,4324.5,1260.0,87.975,161.350
61063,2,4328.5,1260.0,88.175,161.350
61064,2,4330.5,1260.0,88.275,161.350
61065,2,4332.5,1260.0,88.375,161.350
61066,2,4334.5,1260.0,88.475,161.350
61067,2,4336.5,1260.0,88.575,161.350
61068,2,4340.5,1260.0,88.775,161.350
61069,2,4342.5,1260.0,88.875,161.350
61070,2,4344.5,1260.0,88.975,161.350
61074,2,4368.5,1260.0,90.175,161.350
